0.0.0.0 0 128.223.51.1 1h
1.0.0.0 24 12.0.1.63 2w5d
1.0.4.0 22 114.31.199.16 1d17h
1.0.5.0 24 114.31.199.16 1d17h
1.0.16.0 24 202.232.0.2 2w6d
1.0.32.0 24 144.228.241.130 6d14h
1.0.64.0 18 202.232.0.2 2w5d
1.0.128.0 17 202.232.0.2 2w6d
1.0.128.0 18 202.232.0.2 2w6d
1.0.128.0 19 202.232.0.2 2w6d
1.0.128.0 24 4.68.4.46 2w6d
1.0.129.0 24 4.68.4.46 2w6d
1.0.130.0 23 114.31.199.16 1d08h
1.0.132.0 24 4.68.4.46 1w2d
1.0.133.0 24 4.68.4.46 1w2d
1.0.136.0 24 4.68.4.46 1w2d
1.0.137.0 24 4.68.4.46 2w6d
1.0.138.0 24 114.31.199.16 1d07h
1.0.139.0 24 4.68.4.46 1w2d
1.0.140.0 23 4.68.4.46 1w2d
1.0.141.0 24 4.68.4.46 2w6d
1.0.142.0 23 4.68.4.46 1w2d
1.0.144.0 20 4.68.4.46 2w6d
1.0.160.0 19 202.232.0.2 2w6d
1.0.160.0 22 4.68.4.46 2w6d
1.0.164.0 24 4.68.4.46 2w6d
1.0.165.0 24 4.68.4.46 2w6d
1.0.166.0 24 4.68.4.46 1w2d
1.0.167.0 24 4.68.4.46 2w6d
1.0.168.0 24 114.31.199.16 1d08h
1.0.169.0 24 114.31.199.16 1d08h
1.0.170.0 24 4.68.4.46 1w2d
1.0.171.0 24 4.68.4.46 2w6d
1.0.172.0 22 4.68.4.46 2w6d
1.0.176.0 24 202.232.0.2 6w6d
1.0.177.0 24 202.232.0.2 6w6d
1.0.178.0 24 202.232.0.2 6w6d
1.0.179.0 24 202.232.0.2 2w6d
1.0.182.0 24 202.232.0.2 2w6d
1.0.189.0 24 202.232.0.2 2w6d
1.0.190.0 24 202.232.0.2 2w6d
1.0.191.0 24 202.232.0.2 6w6d
1.0.192.0 18 202.232.0.2 2w6d
1.0.192.0 19 202.232.0.2 2w6d
1.0.192.0 24 4.68.4.46 2w6d
1.0.193.0 24 4.68.4.46 2w6d
1.0.194.0 24 4.68.4.46 2w6d
1.0.195.0 24 4.68.4.46 2w6d
1.0.196.0 24 4.68.4.46 1w2d
1.0.197.0 24 4.68.4.46 1w2d
1.0.198.0 24 4.68.4.46 2w6d
1.0.199.0 24 4.68.4.46 2w6d
1.0.200.0 24 4.68.4.46 2w6d
1.0.202.0 23 4.68.4.46 2w6d
1.0.204.0 24 4.68.4.46 2w0d
1.0.205.0 24 4.68.4.46 2w0d
1.0.206.0 24 4.68.4.46 2w0d
1.0.207.0 24 4.68.4.46 2w0d
1.0.208.0 23 4.68.4.46 1w2d
1.0.210.0 23 202.232.0.2 2w6d
1.0.212.0 23 4.68.4.46 1w2d
1.0.214.0 24 4.68.4.46 2w6d
1.0.215.0 24 202.232.0.2 2w6d
1.0.216.0 24 4.68.4.46 2w6d
1.0.217.0 24 4.68.4.46 1w2d
1.0.218.0 24 4.68.4.46 2w6d
1.0.219.0 24 202.232.0.2 2w6d
1.0.220.0 24 4.68.4.46 2w6d
1.0.221.0 24 4.68.4.46 2w6d
1.0.222.0 24 4.68.4.46 2w6d
1.0.224.0 19 202.232.0.2 2w6d
1.0.224.0 20 202.232.0.2 6w6d
1.0.240.0 21 4.68.4.46 2w6d
1.0.248.0 21 202.232.0.2 6w6d
1.1.1.0 24 12.0.1.63 2w5d
1.1.8.0 24 202.232.0.2 6w6d
1.1.64.0 19 202.232.0.2 2w6d
1.1.96.0 24 202.232.0.2 2w6d
1.1.97.0 24 202.232.0.2 2w6d
1.1.98.0 24 202.232.0.2 2w6d
1.1.99.0 24 202.232.0.2 2w6d
1.1.100.0 24 202.232.0.2 2w6d
1.1.101.0 24 202.232.0.2 2w6d
1.1.102.0 24 202.232.0.2 2w6d
1.1.103.0 24 202.232.0.2 2w6d
1.1.104.0 24 202.232.0.2 2w6d
1.1.105.0 24 202.232.0.2 2w6d
1.1.106.0 24 202.232.0.2 2w6d
1.1.107.0 24 202.232.0.2 2w6d
1.1.108.0 24 202.232.0.2 2w6d
1.1.109.0 24 202.232.0.2 2w6d
1.1.110.0 24 202.232.0.2 2w6d
1.1.111.0 24 202.232.0.2 2w6d
1.1.112.0 24 202.232.0.2 2w6d
1.1.113.0 24 202.232.0.2 2w6d
1.1.114.0 24 202.232.0.2 2w6d
1.1.115.0 24 202.232.0.2 2w6d
1.1.116.0 24 202.232.0.2 2w6d
1.1.117.0 24 202.232.0.2 2w6d
1.1.118.0 24 202.232.0.2 2w6d
1.1.119.0 24 202.232.0.2 2w6d
1.1.120.0 24 202.232.0.2 2w6d
1.1.121.0 24 202.232.0.2 2w6d
1.1.122.0 24 202.232.0.2 2w6d
1.1.123.0 24 202.232.0.2 2w6d
1.1.124.0 24 202.232.0.2 2w6d
1.1.125.0 24 202.232.0.2 2w6d
1.1.126.0 24 202.232.0.2 2w6d
1.1.128.0 17 202.232.0.2 2w6d
1.1.128.0 18 202.232.0.2 2w6d
1.1.128.0 19 202.232.0.2 2w6d
1.1.128.0 21 4.68.4.46 1w2d
1.1.136.0 24 4.68.4.46 2w5d
1.1.137.0 24 4.68.4.46 1w2d
